"n1" "eventr" "CoxTPR" "CoxTNR" "LogitTPR" "LogitTNR" "TCoxTPR" "TCoxTNR"
26528 0.264286791314837 0.73 1 0.68 1 0.72 1
27051 0.175076706960926 0.73 1 0.7 1 0.74 1
26787 0.23660730951581 0.78 1 0.72 1 0.77 1
27237 0.143187575724199 0.66 1 0.63 1 0.66 1
27186 0.155410873243581 0.63 1 0.59 1 0.63 1
26774 0.22155822813177 0.71 1 0.69 1 0.71 1
26394 0.29999242252027 0.78 1 0.71 1 0.75 1
25622 0.382444774022325 0.79 0.999966555183947 0.74 1 0.79 0.999966555183947
25804 0.350100759572159 0.76 1 0.74 1 0.76 1
26616 0.246092575894199 0.69 1 0.68 1 0.69 1
27283 0.151926107832716 0.7 1 0.66 1 0.7 1
25782 0.360096191141106 0.77 1 0.72 1 0.77 1
26818 0.23417107912596 0.75 1 0.73 1 0.75 1
27179 0.134515618676184 0.68 1 0.67 1 0.68 1
27140 0.180803242446573 0.76 1 0.72 1 0.76 1
26669 0.248415763620683 0.73 1 0.71 1 0.73 1
26282 0.307054257666844 0.73 1 0.71 1 0.74 1
27367 0.0958819015602733 0.56 1 0.53 1 0.56 1
24916 0.427717129555306 0.71 1 0.68 1 0.69 1
27144 0.168950781019747 0.75 1 0.72 1 0.75 1
26627 0.265369737484508 0.76 1 0.69 1 0.76 1
26141 0.317776672659806 0.73 1 0.7 1 0.73 1
26656 0.240546218487395 0.71 1 0.68 1 0.71 1
23291 0.527156412348117 0.79 1 0.72 1 0.78 1
26371 0.308293200864586 0.82 1 0.79 1 0.82 1
26502 0.281865519583428 0.76 1 0.7 1 0.76 1
26188 0.314953413777303 0.72 1 0.66 1 0.72 1
24987 0.437107295793813 0.83 1 0.77 1 0.83 1
26653 0.271001388211458 0.73 1 0.69 1 0.74 1
24270 0.472105480016481 0.83 1 0.72 1 0.82 1
26579 0.248316339967644 0.78 0.999966555183947 0.72 0.999966555183947 0.78 1
26685 0.239347948285554 0.75 1 0.75 1 0.75 1
24171 0.488726159447272 0.81 1 0.71 1 0.81 1
26049 0.335521517140773 0.79 1 0.73 1 0.78 1
26748 0.232578136683116 0.69 1 0.68 1 0.69 1
26805 0.220070882298079 0.7 1 0.69 1 0.71 1
25367 0.393227421453069 0.8 0.999966555183947 0.71 1 0.79 0.999966555183947
25104 0.419216061185468 0.81 1 0.73 1 0.8 1
25802 0.348693899697698 0.7 1 0.69 1 0.7 1
26517 0.284459026285025 0.72 1 0.71 1 0.73 1
26054 0.327819144852998 0.76 1 0.71 1 0.76 1
25389 0.396273976919138 0.82 1 0.74 1 0.82 1
26635 0.268293598648395 0.71 1 0.68 1 0.71 1
27397 0.0982589334598679 0.57 1 0.51 1 0.57 1
26597 0.260518103545513 0.72 1 0.68 1 0.71 1
26339 0.295341508789248 0.75 1 0.71 1 0.75 1
26323 0.307639706720359 0.81 1 0.79 1 0.81 1
24538 0.456720189094466 0.84 1 0.74 1 0.84 1
26544 0.277614526823388 0.73 0.999966555183947 0.7 1 0.73 0.999966555183947
26836 0.215941272916977 0.71 1 0.68 1 0.71 1
27310 0.106261442694984 0.61 1 0.58 1 0.6 1
26669 0.247965802992238 0.67 1 0.63 1 0.68 1
26142 0.307092035804453 0.78 1 0.75 1 0.78 1
26882 0.228517223420876 0.79 1 0.75 1 0.8 1
26303 0.310040679770368 0.75 1 0.71 1 0.75 1
25540 0.378778386844166 0.76 1 0.73 1 0.76 1
26719 0.244956772334294 0.65 1 0.62 1 0.65 1
26248 0.30284212130448 0.77 1 0.75 1 0.77 1
26397 0.28866916695079 0.8 1 0.77 1 0.8 1
25196 0.414272106683601 0.79 1 0.76 1 0.79 1
27150 0.181252302025783 0.71 1 0.68 1 0.71 1
25202 0.40361876041584 0.75 0.999966555183947 0.73 1 0.75 0.999966555183947
26939 0.207654330153309 0.7 1 0.67 1 0.7 1
27038 0.187291959464457 0.69 1 0.66 1 0.69 1
26195 0.314602023286887 0.8 1 0.75 1 0.8 1
26661 0.244476951352162 0.73 1 0.7 0.999966555183947 0.73 1
26060 0.324750575594781 0.82 1 0.79 1 0.81 1
27004 0.195008146941194 0.77 1 0.72 1 0.77 1
26864 0.223570577724836 0.7 1 0.68 1 0.7 1
26477 0.281111908448842 0.79 1 0.78 1 0.79 1
27069 0.178543721600355 0.7 1 0.7 1 0.7 1
27171 0.156011924478304 0.71 1 0.7 1 0.71 1
26760 0.237406576980568 0.8 1 0.73 1 0.8 1
25254 0.405401124574325 0.81 1 0.74 1 0.81 1
27138 0.142530768663866 0.65 1 0.63 1 0.65 1
27395 0.0849790107683884 0.55 1 0.53 1 0.55 1
26663 0.253384840415557 0.76 1 0.74 1 0.76 1
26793 0.225357369462173 0.66 1 0.65 1 0.66 1
25062 0.41608810150826 0.76 1 0.73 1 0.76 1
25989 0.331755742814268 0.78 1 0.75 1 0.78 1
25165 0.406238823763163 0.82 0.999966555183947 0.76 1 0.81 0.999966555183947
25508 0.377450211698291 0.76 1 0.75 1 0.76 1
26557 0.257596867116015 0.7 1 0.69 1 0.7 1
24818 0.441050850189379 0.77 1 0.71 1 0.76 1
25922 0.348661368721549 0.69 1 0.67 1 0.69 1
26083 0.326994594180117 0.81 1 0.74 1 0.81 1
26902 0.218533937997175 0.7 1 0.69 1 0.69 1
25779 0.364249970906552 0.81 0.999933110367893 0.73 1 0.81 0.999933110367893
25836 0.343667750425762 0.76 1 0.7 1 0.76 1
26302 0.300623526728005 0.75 1 0.7 1 0.75 1
27236 0.138823615802614 0.67 1 0.63 0.999966555183947 0.66 1
25338 0.408358986502486 0.73 1 0.67 1 0.72 1
26556 0.25873625546016 0.77 1 0.76 1 0.77 1
26779 0.238993240972404 0.72 0.999966555183947 0.68 1 0.72 1
24965 0.424714600440617 0.77 1 0.71 1 0.77 1
25762 0.356028258675569 0.81 1 0.78 1 0.81 1
25711 0.364902181945471 0.72 1 0.7 1 0.71 0.999966555183947
26938 0.199383770138837 0.77 1 0.74 1 0.77 1
25974 0.335989835989836 0.69 1 0.66 1 0.69 1
22639 0.557665974645523 0.78 1 0.71 1 0.78 1
26836 0.228014607244001 0.74 1 0.71 1 0.74 1
26557 0.276763188613172 0.78 1 0.72 1 0.78 1
25961 0.343977504718616 0.76 1 0.75 1 0.75 1
25961 0.344786410384808 0.81 1 0.75 1 0.8 1
26448 0.286411070780399 0.75 1 0.69 1 0.76 1
25743 0.360680573359748 0.79 1 0.73 1 0.78 1
27096 0.175930026572188 0.62 1 0.62 1 0.62 1
25830 0.365776229190863 0.87 1 0.8 1 0.88 1
25627 0.370390603660202 0.77 1 0.68 1 0.75 1
27043 0.186332877269534 0.69 1 0.67 1 0.69 1
25977 0.335989529198907 0.8 1 0.74 1 0.8 1
26207 0.31438165375663 0.74 1 0.7 1 0.74 1
26446 0.279361718218256 0.78 1 0.74 1 0.78 1
25930 0.345545699961435 0.76 1 0.71 1 0.75 1
26632 0.236219585461099 0.75 1 0.74 1 0.75 1
26822 0.231824621579301 0.73 1 0.71 1 0.73 0.999966555183947
24616 0.445035749106272 0.73 1 0.7 1 0.74 1
27174 0.166924265842349 0.69 1 0.67 1 0.69 1
26914 0.209296277030542 0.74 1 0.69 1 0.74 1
25979 0.347280495785057 0.77 1 0.74 1 0.77 1
25971 0.334835008278464 0.76 1 0.69 1 0.77 1
26913 0.198491435365808 0.73 1 0.68 1 0.73 1
26794 0.234866014779428 0.78 1 0.76 1 0.77 1
25938 0.353843781324697 0.77 1 0.72 1 0.76 1
23665 0.51105007394887 0.77 1 0.68 1 0.77 1
25354 0.391299203281534 0.75 1 0.71 1 0.75 1
25167 0.409981324750666 0.76 0.999966555183947 0.67 1 0.76 0.999966555183947
26373 0.282334205437379 0.76 1 0.68 1 0.76 1
26700 0.258202247191011 0.73 1 0.69 1 0.73 1
26704 0.26318154583583 0.74 1 0.72 1 0.74 1
27208 0.157269920611585 0.72 1 0.71 1 0.72 1
26885 0.218486144690348 0.76 1 0.73 1 0.76 1
26252 0.300396160292549 0.73 1 0.7 1 0.74 1
26142 0.318453064034886 0.73 1 0.71 1 0.73 1
26196 0.304626660558864 0.75 1 0.72 1 0.75 1
27024 0.187870041444642 0.76 1 0.73 1 0.76 1
25593 0.377407884968546 0.79 1 0.72 1 0.79 1
25674 0.360130871698995 0.77 1 0.73 1 0.76 1
26816 0.230235680190931 0.72 1 0.67 1 0.72 1
26738 0.244520906574912 0.72 1 0.69 1 0.72 1
24778 0.442489305028654 0.78 1 0.73 1 0.78 1
27147 0.15397649832394 0.66 1 0.61 1 0.67 1
25273 0.396549677521466 0.87 1 0.81 1 0.87 1
25842 0.354229548796533 0.72 1 0.69 1 0.72 1
26570 0.265299209634927 0.71 1 0.67 1 0.71 1
26466 0.278999471019421 0.81 1 0.75 1 0.81 1
27169 0.168427251647098 0.67 1 0.62 1 0.67 1
26663 0.262086036830064 0.71 1 0.69 0.999966555183947 0.7 1
25721 0.3531744488939 0.8 1 0.77 1 0.8 1
26570 0.269439217162213 0.79 1 0.76 1 0.79 1
26786 0.218957664451579 0.78 1 0.72 1 0.78 1
26431 0.285952101698763 0.76 1 0.69 1 0.76 1
26762 0.229840819071818 0.76 1 0.67 1 0.76 1
26019 0.338944617394981 0.8 1 0.76 1 0.8 1
25946 0.341015956216758 0.77 1 0.73 1 0.77 1
26790 0.236020903322135 0.74 1 0.73 1 0.74 1
26876 0.214168775115345 0.74 1 0.71 1 0.75 1
27017 0.206092460302772 0.67 1 0.63 0.999966555183947 0.67 1
26989 0.199599836970618 0.69 1 0.67 0.999966555183947 0.69 1
26463 0.284774968824396 0.74 1 0.71 1 0.74 1
24732 0.44598091541323 0.77 1 0.7 1 0.77 1
26310 0.299277841125048 0.74 1 0.67 1 0.73 1
26431 0.282925352805418 0.8 1 0.76 1 0.79 1
26636 0.254054662862292 0.75 1 0.71 1 0.76 1
25249 0.400847558319141 0.79 1 0.77 1 0.79 1
26305 0.29321421782931 0.8 1 0.77 1 0.79 1
26114 0.323274871716321 0.81 1 0.77 1 0.81 1
27193 0.164086345750745 0.75 1 0.72 1 0.75 1
26660 0.258627156789197 0.75 1 0.7 1 0.75 1
26284 0.303682848881449 0.72 1 0.68 1 0.72 1
25947 0.344394342313177 0.83 1 0.77 1 0.82 1
26576 0.263470800722456 0.8 1 0.71 1 0.8 1
26699 0.24809917974456 0.76 1 0.72 1 0.76 1
25193 0.411900130988767 0.72 1 0.67 1 0.71 1
26630 0.24333458505445 0.71 0.999966555183947 0.66 1 0.71 1
